h3_cell,centroid_latitude,centroid_longitude,action,cost_usd,reduction_pct,baseline_calls_30d,prevented_calls_30d,roi_calls_prevented_per_1k,code_violations_count,service_311_count,distance_to_nearest_station_km,prediction_uncertainty_30d,underserved_flag,priority_score
8944ec6a663ffff,32.38873965275054,-86.29756334074217,Code Enforcement Blitz,5790.0,28.39115683121279,16.8234448006133,4.776370597754635,0.8249344728419059,9.0,1185.0,0.0,20.00029771598876,True,15.264310351322841
8944ec6a60bffff,32.382547349371926,-86.29915114650312,Code Enforcement Blitz,5680.0,27.73265360835137,15.59959625488779,4.326181993669384,0.7616517594488352,8.0,1663.0,0.0,17.97207898005859,True,13.828618204368011
8944ec6a663ffff,32.38873965275054,-86.29756334074217,Hotspot Patrol Windows,2600.0,18.0,16.8234448006133,3.0282200641103936,1.1647000246578436,9.0,1185.0,0.0,20.00029771598876,True,13.258648824594355
8944ec6a60bffff,32.382547349371926,-86.29915114650312,Hotspot Patrol Windows,2600.0,18.0,15.59959625488779,2.807927325879802,1.0799720484153084,8.0,1663.0,0.0,17.97207898005859,True,12.197528663104793
8944ec6a663ffff,32.38873965275054,-86.29756334074217,Lighting + Cleanup Surge,3700.567076821847,17.94345054217057,16.8234448006133,3.0187064972874134,0.8157415970635411,9.0,1185.0,0.0,20.00029771598876,True,11.57479641908068
8944ec6a687ffff,32.376948085260196,-86.31022440943015,Code Enforcement Blitz,9090.0,37.0554965882121,11.042662045091244,4.091913257366579,0.45015547385770943,39.0,1691.0,0.0,11.042662045091244,True,11.257619012540614
8944ec6a663ffff,32.38873965275054,-86.29756334074217,Rapid Response Coverage,2600.0,14.000000000000002,16.8234448006133,2.355282272085862,0.9058777969561008,9.0,1185.0,0.0,20.00029771598876,True,10.62859237697624
8944ec6a60bffff,32.382547349371926,-86.29915114650312,Lighting + Cleanup Surge,3607.8710463733473,17.399788515141548,15.59959625488779,2.7142967575664168,0.7523264336996865,8.0,1663.0,0.0,17.97207898005859,True,10.440841181835422
8944eeb49b3ffff,32.402528434743815,-86.21693786656412,Hotspot Patrol Windows,2600.0,18.0,13.000371495118536,2.3400668691213364,0.9000257188928217,0.0,668.0,0.0,14.716345761013589,True,10.032061899170495
8944ec6a60bffff,32.382547349371926,-86.29915114650312,Rapid Response Coverage,2600.0,14.000000000000002,15.59959625488779,2.183943475684291,0.8399782598785733,8.0,1663.0,0.0,17.97207898005859,True,9.758799901150441
8944ec6a653ffff,32.37802300196439,-86.29388636937918,Code Enforcement Blitz,6340.0,30.925313756888812,10.283190781031175,3.180109013253356,0.5015944815857029,14.0,1085.0,0.0,12.475812249170128,True,9.690243729432742
8944ec6a6bbffff,32.38004461381155,-86.3094307863982,Code Enforcement Blitz,6450.0,31.32867951399863,10.403998668628788,3.259435399535397,0.5053388216333948,15.0,1844.0,0.0,10.403998668628788,True,9.6731321698774
8944ec6a6a3ffff,32.3823066690943,-86.31206389261459,Hotspot Patrol Windows,2600.0,18.0,11.295367424500958,2.0331661364101725,0.7819869755423741,1.0,564.0,0.0,14.12318142427208,True,8.777223002503748
8944ec6a68fffff,32.37778254808245,-86.30679786355932,Code Enforcement Blitz,6340.0,30.925313756888812,9.538164516083238,2.949707303246977,0.46525351786229924,14.0,1487.0,0.0,9.538164516083238,True,8.752704604624267
